,馬名,年月日,競馬場,R,レース名,距離,天候馬場,馬番,人気,着順,タイム,差/事故,上3F,コーナー通過順,体重,騎手,負担重量,調教師,獲得賞金（円）
13,ケイツーフラン,18/11/20,浦和,5, Ｃ２(六),1400,晴/重,12,4,9/12,1:31.7,0.8,39.5,8-8-7,453,吉井章,53.0,加藤誠,0
14,ケイツーフラン,18/10/18,川崎☆,6, Ｃ２(七)(八)(九),1500,晴/良,7,9,12/12,1:39.1,1.6,41.6,7-7-6,451,吉井章,52.0,加藤誠,0
15,ケイツーフラン,18/9/24,浦和,5,メイクマイウエー特別 Ｃ３(一)(二)(三),1400,曇/稍重,3,3,2/11,1:31.7,1.3,39.9,4-5-3,451,吉井章,52.0,加藤誠,"490,000"
16,ケイツーフラン,18/9/14,川崎,4,川崎競馬ジャズナイト記念 Ｃ３(一)(二),1500,曇/重,1,7,3/10,1:40.0,0.2,40.3,8-9-6,452,吉井章,52.0,加藤誠,"200,000"
17,ケイツーフラン,18/8/20,川崎☆,7,２０１８夏　川崎ジョッキーズカップ Ｃ３,1500,曇/良,7,5,4/14,1:39.6,1.5,41.8,9-5-6,446,藤江渉,54.0,加藤誠,"150,000"
18,ケイツーフラン,18/7/23,川崎☆,6,ブーゲンビリア賞 Ｃ３,1400,晴/良,6,4,4/8,1:34.3,1.5,40.7,3-5-4,444,吉井章,51.0,加藤誠,"135,000"
19,ケイツーフラン,18/7/4,川崎,2, Ｃ３(四)(五)(六),1500,曇/良,4,6,6/12,1:39.7,1.2,40.9,9-8-7,443,藤江渉,54.0,加藤誠,0
20,ケイツーフラン,18/6/19,船橋,7,ヤングジョッキーズＴＲ船橋　第１戦 Ｃ３,1600,晴/重,7,5,2/12,1:45.3,0.6,40.4,2-2-2,445,山田敬,54.0,加藤誠,"640,000"
21,ケイツーフラン,18/6/14,川崎☆,6, Ｃ３(一)(二)(三),1400,曇/稍重,2,6,5/9,1:33.9,1.1,39.6,3-3-3,445,藤江渉,54.0,加藤誠,"96,000"
22,ケイツーフラン,18/5/17,川崎,2, Ｃ３(四)(五)(六),1500,晴/良,5,3,6/11,1:39.5,1.0,40.9,7-6-5,444,藤江渉,54.0,加藤誠,0
23,ケイツーフラン,18/4/25,浦和,4, Ｃ３(七)(八),1500,曇/不良,5,6,2/12,1:38.5,0.2,40.6,5-4-3,442,笹川翼,54.0,加藤誠,"280,000"
24,ケイツーフラン,18/4/4,川崎,2, Ｃ３(六)(七),1400,晴/良,6,8,7/11,1:35.2,1.9,41.8,10-9-9,442,藤江渉,54.0,加藤誠,0
25,ケイツーフラン,18/2/26,川崎,2, Ｃ３(十二)(イ),1400,曇/良,5,7,2/8,1:34.4,1.3,42.3,6-6-3,433,藤江渉,54.0,加藤誠,"280,000"
26,ケイツーフラン,18/1/30,川崎,4, Ｃ３(八)(九)(十),1400,晴/稍重,3,7,9/10,1:35.8,2.3,41.6,8-7-8,431,保園翔,54.0,加藤誠,0
27,ケイツーフラン,17/11/8,川崎,2, ３歳(七)(ロ),1400,曇/良,11,11,11/12,1:33.6,3.0,42.1,7-8-8,437,櫻井光,52.0,加藤誠,0
28,ケイツーフラン,17/10/11,川崎,3, ３歳(四)(イ),1400,曇/稍重,6,7,9/10,1:34.7,3.5,42.5,8-6-9,443,藤江渉,54.0,加藤誠,0
29,ケイツーフラン,17/8/27,金沢,9, ３歳Ｂ(四),1500,晴/良,1,5,1/11,1:40.0,0.6,40.9,5-4-3,453,葛山晃,54.0,宗綱泰,"200,000"
30,ケイツーフラン,17/8/20,金沢,3, ３歳Ｂ(二走)(四),1400,曇/良,1,2,3/6,1:34.9,0.5,40.2,5-1-2,454,桑野等,54.0,宗綱泰,"24,000"
31,ケイツーフラン,17/8/13,金沢,9, ３歳Ｂ(五),1300,曇/良,6,3,5/9,1:27.9,2.8,40.5,7-4-5,454,桑野等,54.0,宗綱泰,"12,000"
32,ケイツーフラン,17/7/30,金沢,6, ３歳Ｂ(六),1500,晴/良,4,4,5/9,1:41.3,2.0,43.0,6-4-4,451,桑野等,54.0,宗綱泰,"12,000"
33,ケイツーフラン,17/7/16,金沢,3, ３歳Ｂ(八),1400,曇/重,9,1,1/9,1:33.8,0.2,39.1,3-2-1,446,桑野等,54.0,宗綱泰,"200,000"
34,ケイツーフラン,17/7/4,金沢,2, ３歳Ｂ(十),1400,雨/不良,8,1,2/9,1:33.5,0.7,39.9,4-4-5,443,桑野等,54.0,宗綱泰,"46,000"
35,ケイツーフラン,17/6/18,金沢,1, ３歳Ｂ(十一),1400,曇/良,1,5,4/8,1:33.5,1.4,40.9,5-3-2,442,桑野等,54.0,宗綱泰,"18,000"
36,ケイツーフラン,17/5/20,京都,6,３歳,1600/芝,晴/良,4,17,16/17,1:36.9,2.4,35.5,16-16,426,田村太,54.0,沖芳夫,0
37,ケイツーフラン,17/5/14,京都,5,３歳,1800/芝,晴/重,4,14,13/15,1:50.8,1.8,36.2,15-15,432,森裕太,51.0,沖芳夫,0
38,ケイツーフラン,17/2/13,小倉,1,３歳,1700,晴/稍重,8,13,12/16,1:49.1,1.9,39.1,16-15-14,442,藤岡佑,54.0,沖芳夫,0
39,ケイツーフラン,17/1/21,京都,4,３歳,1400,晴/重,8,13,9/16,1:29.0,1.2,38.1,15-15,440,藤岡佑,54.0,沖芳夫,0
0,ニシノオリーブ,19/10/25,川崎☆,10,よこすか海軍カレー記念 Ｂ２(二),1600,曇/不良,3,11,10/12,1:45.6,2.5,42.7,1-1-2,471,中越琉,52.0,佐藤博,0
1,ニシノオリーブ,19/10/11,浦和,11,オパール特別 Ｂ２(二),1400,雨/重,12,12,12/12,1:29.8,2.6,39.6,7-10-12,468,櫻井光,53.0,佐藤博,0
